Date,Tech,Tech Score,Opponent,Opponent Score,W/L/T,City,State,Notes,,,,,Total points scored:
10/13/1939,Louisiana Tech,6,Birmingham-Southern,7,L,"Birmingham, AL",AL,,,,,,13
10/21/1939,Louisiana Tech,0,Northwestern State,26,L,"Shreveport, LA",LA,,,,,,26
10/28/1939,Louisiana Tech,13,Tampa,0,W,"Ruston, LA",LA,,,,,,13
11/4/1939,Louisiana Tech,6,UL-Lafayette,12,L,"Ruston, LA",LA,,,,,,18
11/11/1939,Louisiana Tech,10,Louisiana College,9,W,"Pineville, LA",LA,,,,,,19
11/18/1939,Louisiana Tech,0,UTEP,27,L,"El Paso, TX",TX,,,,,,27
12/9/1939,Louisiana Tech,0,Centenary,19,L,"Ruston, LA",LA,,,,,,19
9/21/1940,Louisiana Tech,7,LSU,39,L,"Baton Rouge, LA",LA,,,,,,46
9/26/1940,Louisiana Tech,0,Ouachita Baptist,17,L,"El Dorado, AR",AR,,,,,,17
10/4/1940,Louisiana Tech,19,UTEP,7,W,"Ruston, LA",LA,,,,,,26
10/11/1940,Louisiana Tech,7,WKU,6,W,"Ruston, LA",LA,,,,,,13
